Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C16, C17, C18, C19, C2, C20, C3, C4, C6, C7",805,13,0.1uF,C28233 
"C10, C11",805,2,10uF,C15850 
C12,805,1,10nF,C1710 
C5,805,1,1uF,C28323
"C8, C9",805,2,20pF,C1798
"D2, D4, D6",805,3,LED,C2296
"D3, D5, D7, D8",805,4,LED,C2297
"D10, D11, D9",805,3,LED,C2297
D12,SMD5050-6Pin,1,LED_RGB,C111658 
FB1,805,1,50R100MHz,C1015 
IC1,TSOT-23-5,1,RT9080-33GJ5,C841192 
J4,USB_Micro-B_MOLEX_105017,1,USB_B_Micro,C505111 
J8,TFCARDH18,1,TF-CARD_H1.8,C7529389 
"R1, R13, R19, R2, R24, R3",805,6,10K,C17414
"R10, R16, R17, R21, R22, R26, R27, R4, R5, R6, R7, R8, R9",805,13,22R,C17561
R11,805,1,1.5k,C4310
"R12, R32, R33",805,3,1k,C17513
"R14, R15, R18, R20, R23, R25, R28, R29, R30, R31",805,10,2.2K,C17520
SW5,SW_SPST_SKQG_WithStem,1,SW_SPST,C202424 
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8304 
"U3, U4, U5",VSSOP-8_2.3x2mm_P0.5mm,3,TXB0102DCT,C2677366 
X1,Crystal_SMD_7050-4Pin_7.0x5.0mm,1,8MHz,C242205 
Y2,Crystal_SMD_MC306-4Pin_8.0x3.2mm,1,32.768K,C12675 
